Name,Platform,Genre,Publisher,Year_of_Release
Madden NFL 2002,PS2,Sports,Electronic Arts,2001
World Class Track Meet,NES,Sports,Namco Bandai Games,1986
Donkey Kong,GB,Platform,Nintendo,1994
The Sims: Vacation,PC,Simulation,Electronic Arts,2002
LEGO Batman: The Videogame,Wii,Action,Warner Bros. Interactive Entertainment,0
Animal Crossing: Happy Home Designer,3DS,Simulation,Nintendo,2015
The Sims 4,PC,Simulation,Electronic Arts,2014
Borderlands 2,X360,Shooter,Take-Two Interactive,2012
LEGO Batman: The Videogame,DS,Action,Warner Bros. Interactive Entertainment,2008
Kung Fu Panda,X360,Action,Activision,2008
Mass Effect 3,X360,Role-Playing,Electronic Arts,2012
Heavy Rain,PS3,Adventure,Sony Computer Entertainment,2010
Rayman,PS,Platform,Ubisoft,1995
Saints Row 2,X360,Action,THQ,2008
Tom Clancy's Splinter Cell,XB,Action,Ubisoft,2002
Mike Tyson's Punch-Out!!,NES,Fighting,Nintendo,1987
WWE SmackDown! Shut Your Mouth,PS2,Sports,THQ,2002
FIFA 14,PS4,Sports,Electronic Arts,2013
Killzone 2,PS3,Shooter,Sony Computer Entertainment,2009
Far Cry 3,X360,Shooter,Ubisoft,2012
Epic Mickey,Wii,Platform,Disney Interactive Studios,2010
NBA 2K13,X360,Sports,Take-Two Interactive,2012
Dragon Ball Z: Budokai Tenkaichi 3,PS2,Fighting,Atari,2007
wwe Smackdown vs. Raw 2006,PS2,Fighting,N/A,0
Star Fox,SNES,Shooter,Nintendo,1993
The Sims: Livin Large,PC,Misc,Electronic Arts,2000
World Soccer Winning Eleven 6 International,PS2,Sports,Konami Digital Entertainment,2002
Devil May Cry,PS2,Action,Capcom,2001
Star Wars: The Old Republic,PC,Role-Playing,Electronic Arts,2011
Middle-Earth: Shadow of Mordor,PS4,Action,Warner Bros. Interactive Entertainment,2014
Sonic Heroes,PS2,Platform,Sega,2003
Hitman 2: Silent Assassin,PS2,Action,Eidos Interactive,2002
Titanfall,XOne,Shooter,Electronic Arts,2014
Battlefield: Bad Company 2,PS3,Shooter,Electronic Arts,2010
Wave Race 64,N64,Racing,Nintendo,1996
SOCOM II: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment,2003
WWE SmackDown! vs. RAW 2006,PS2,Fighting,THQ,2005
Pac-Man Collection,GBA,Puzzle,Atari,2001
Street Fighter IV,X360,Fighting,Capcom,2009
inFAMOUS,PS3,Action,Sony Computer Entertainment,2009
Kirby Super Star Ultra,DS,Platform,Nintendo,2008
Call of Duty: Ghosts,XOne,Shooter,Activision,2013
FIFA 15,X360,Sports,Electronic Arts,2014
Super Mario World 2: Yoshi's Island,GBA,Platform,Nintendo,2002
Mass Effect,X360,Role-Playing,Microsoft Game Studios,2007
Sonic Mega Collection Plus,PS2,Misc,Sega,2004
World Soccer Winning Eleven 7 International,PS2,Sports,Konami Digital Entertainment,2003
Sega Superstars Tennis,X360,Sports,Sega,2008
Hot Shots Golf 3,PS2,Sports,Sony Computer Entertainment,2001
Cooking Mama: Cook Off,Wii,Simulation,505 Games,2007
Call of Duty: Finest Hour,PS2,Shooter,Activision,2004
WarioWare: Smooth Moves,Wii,Puzzle,Nintendo,2006
Syphon Filter,PS,Shooter,Sony Computer Entertainment,1999
Imagine: Babyz,DS,Simulation,Ubisoft,2007
Colin McRae Rally,PS,Racing,Codemasters,1998
Madden NFL 13,X360,Sports,Electronic Arts,2012
The Elder Scrolls III: Morrowind,XB,Role-Playing,Ubisoft,2002
Assassin's Creed IV: Black Flag,PS4,Action,Ubisoft,2013
Command & Conquer: Red Alert,PC,Strategy,Virgin Interactive,1996
F-Zero,SNES,Racing,Nintendo,1990
Yoshi's Story,N64,Platform,Nintendo,1997
Mortal Kombat,PS3,Fighting,Warner Bros. Interactive Entertainment,2011
Madden NFL 10,X360,Sports,Electronic Arts,2009
WWE SmackDown! vs. Raw,PS2,Fighting,THQ,2002
BioShock,X360,Shooter,Take-Two Interactive,2007
Metroid Prime,GC,Shooter,Nintendo,2002
Assassin's Creed: Brotherhood,PS3,Action,Ubisoft,2010
Finding Nemo,GBA,Action,THQ,2003
Zumba Fitness 2,Wii,Sports,Majesco Entertainment,2011
Myst,PC,Adventure,Red Orb,1994
Medal of Honor,PS3,Shooter,Electronic Arts,2010
Need for Speed: Most Wanted,PS3,Racing,Electronic Arts,2012
Imagine: Fashion Designer,DS,Simulation,Ubisoft,2007
WWE SmackDown! Here Comes the Pain,PS2,Fighting,THQ,2003
Hot Shots Golf,PS,Sports,Sony Computer Entertainment,1997
A Bug's Life,PS,Platform,Sony Computer Entertainment,1998
WWF SmackDown! Just Bring It,PS2,Fighting,THQ,2001
inFAMOUS: Second Son,PS4,Action,Sony Computer Entertainment,2014
Dragon Quest V: Tenkuu no Hanayome,SNES,Role-Playing,Enix Corporation,1992
Mortal Kombat Trilogy,PS,Fighting,GT Interactive,1996
Monster Hunter Tri,3DS,Role-Playing,Nintendo,2011
NBA Street,PS2,Sports,Electronic Arts,2001
Jak II,PS2,Platform,Sony Computer Entertainment,2003
Ratchet & Clank: Going Commando,PS2,Platform,Sony Computer Entertainment,2003
Need for Speed: Hot Pursuit,PS3,Racing,Electronic Arts,2010
Skylanders: Spyro's Adventure,Wii,Action,Activision,2011
Battlefield 3,PC,Shooter,Electronic Arts,2011
Mortal Kombat X,PS4,Fighting,Warner Bros. Interactive Entertainment,2015
The Sims,PS2,Simulation,Electronic Arts,2003
Killzone 3,PS3,Shooter,Sony Computer Entertainment,2011
Star Wars: The Force Unleashed,X360,Action,LucasArts,2008
Minecraft,XOne,Misc,Microsoft Game Studios,2014
Yoshi's Island DS,DS,Platform,Nintendo,2006
Saints Row: The Third,X360,Action,THQ,2011
Missile Command,2600,Shooter,Atari,1980
Mario Paint,SNES,Misc,Nintendo,1992
Tekken 6,PS3,Fighting,Namco Bandai Games,2009
Pokémon Stadium 2,N64,Strategy,Nintendo,2000
Metroid,NES,Action,Nintendo,1986
Sonic and the Secret Rings,Wii,Platform,Sega,2007
FIFA 16,PS3,Sports,Electronic Arts,2015
The Legend of Zelda: A Link to the Past,GBA,Action,Nintendo,2002
Onimusha: Warlords,PS2,Action,Virgin Interactive,2001
Mario Party,N64,Misc,Nintendo,1998
L.A. Noire,X360,Adventure,Take-Two Interactive,2011
Call of Duty 3,X360,Shooter,Activision,2006
Madden NFL 12,X360,Sports,Electronic Arts,2011
LEGO Star Wars II: The Original Trilogy,PS2,Action,LucasArts,2006
Killzone: Shadow Fall,PS4,Shooter,Sony Computer Entertainment,2013
Madden NFL 11,X360,Sports,Electronic Arts,2010
Burnout 3: Takedown,PS2,Racing,Electronic Arts,2004
Yokai Watch 2 Shinuchi,3DS,Role-Playing,Level 5,2014
Mortal Kombat,GEN,Fighting,Arena Entertainment,1992
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Puzzle,Nintendo,2010
Professor Layton and the Last Specter,DS,Puzzle,Nintendo,2009
Call Of Duty 2: Big Red One,PS2,Shooter,Activision,2005
Medal of Honor,PS,Shooter,Electronic Arts,1998
Fable,XB,Role-Playing,Microsoft Game Studios,2004
Guitar Hero: World Tour,X360,Misc,Activision,2008
FIFA 17,XOne,Sports,Electronic Arts,2016
Hannah Montana,DS,Action,Disney Interactive Studios,2006
Tom Clancy's Splinter Cell,PS2,Action,Ubisoft,2003
Super Mario Bros.: The Lost Levels,NES,Platform,Nintendo,1986
Need for Speed: Shift,PS3,Racing,Electronic Arts,2009
Star Wars: Shadows of the Empire,N64,Action,Nintendo,1996
Medal of Honor Heroes,PSP,Shooter,Electronic Arts,2006
Final Fantasy XIII-2,PS3,Role-Playing,Square Enix,2011
Midnight Club: Street Racing,PS2,Racing,Take-Two Interactive,2000
Skate 3,X360,Sports,Electronic Arts,2010
ESPN NFL 2K5,PS2,Sports,Sega,2004
Halo Wars,X360,Strategy,Microsoft Game Studios,2009
NBA 2K12,X360,Sports,Take-Two Interactive,2011
Pac-Man: Adventures in Time,PSP,Fighting,Sony Computer Entertainment,2006
FIFA Soccer 10,X360,Sports,Electronic Arts,2009
Medal of Honor,X360,Shooter,Electronic Arts,2010
Harry Potter and the Chamber of Secrets,PS2,Action,Electronic Arts,2002
Streets of Rage,GEN,Action,Sega,1990
God of War Collection,PS3,Action,Sony Computer Entertainment,2009
NBA Live 2005,PS2,Sports,Electronic Arts,2004
Mario Strikers Charged,Wii,Sports,Nintendo,2007
FIFA Soccer 09,PS3,Sports,Electronic Arts,2008
Style Savvy,DS,Simulation,Nintendo,2008
WWE SmackDown vs. RAW 2007,PS2,Fighting,THQ,2006
LEGO Star Wars: The Complete Saga,X360,Action,LucasArts,2007
Ratchet & Clank: Up Your Arsenal,PS2,Platform,Sony Computer Entertainment,2004
Madden NFL 08,PS2,Sports,Electronic Arts,2007
Monster Hunter Freedom 2,PSP,Role-Playing,Capcom,2007
Ratchet & Clank Future: Tools of Destruction,PS3,Platform,Sony Computer Entertainment,2007
Super Mario All-Stars: Limited Edition,Wii,Platform,Nintendo,2010
Sonic Adventure 2 Battle,GC,Platform,Sega,2001
Dragon Warrior II,NES,Role-Playing,Enix Corporation,1987
Ghostbusters: The Video Game (DS Version),X360,Action,Take-Two Interactive,2009
Madden NFL 13,PS3,Sports,Electronic Arts,2012
Dragon Age: Origins,X360,Role-Playing,Electronic Arts,2009
Pokémon Colosseum,GC,Role-Playing,Nintendo,2003
LittleBigPlanet,PSP,Platform,Sony Computer Entertainment,2009
Madden NFL 09,X360,Sports,Electronic Arts,2008
Space Invaders,2600,Shooter,Atari,0
Crazy Taxi,PS2,Racing,Acclaim Entertainment,2001
Art Academy,DS,Misc,Nintendo,2010
NBA 2K14,X360,Sports,Take-Two Interactive,2013
Perfect Dark,N64,Action,Nintendo,2000
Skylanders Giants,Wii,Action,Activision,2012
Dragon Warrior,NES,Role-Playing,Capcom,1986
Deca Sports,Wii,Sports,Konami Digital Entertainment,2008
PES 2009: Pro Evolution Soccer,PS2,Sports,Konami Digital Entertainment,2008
Mario Party 2,N64,Misc,Nintendo,1999
Marvel: Ultimate Alliance,X360,Role-Playing,Activision,2006
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,Action,Take-Two Interactive,2003
Mortal Kombat: Deadly Alliance,PS2,Fighting,Midway Games,2002
Game Party,Wii,Misc,Midway Games,2007
Bloodborne,PS4,Action,Sony Computer Entertainment,2015
Tomb Raider: The Last Revelation,PS,Action,Eidos Interactive,1998
Mario Party 4,GC,Misc,Nintendo,2002
Pure,X360,Racing,Disney Interactive Studios,2008
Rock Band,X360,Misc,Electronic Arts,0
NBA 2K13,PS3,Sports,Take-Two Interactive,2012
Saints Row: The Third,PS3,Action,THQ,2011
Resistance 2,PS3,Shooter,Sony Computer Entertainment,2008
NBA 2K15,PS4,Sports,Take-Two Interactive,2014
Final Fantasy V,SNES,Role-Playing,SquareSoft,1992
Final Fantasy Tactics,PS,Role-Playing,SquareSoft,1997
Midnight Club: Los Angeles,PS3,Racing,Take-Two Interactive,2008
Twisted Metal 2,PS,Racing,Sony Computer Entertainment,1996
The Sims: Bustin' Out,PS2,Simulation,Electronic Arts,2003
Riven: The Sequel to Myst,PC,Adventure,Red Orb,1997
LEGO Harry Potter: Years 1-4,Wii,Action,Warner Bros. Interactive Entertainment,2010
Need for Speed (2015),PS4,Racing,Electronic Arts,2015
Call of Duty: Infinite Warfare,XOne,Shooter,Activision,2016
Madden NFL 16,XOne,Sports,Electronic Arts,2015
Ice Hockey,NES,Sports,Nintendo,1988
Sonic Adventure,DC,Platform,Sega,1998
Tom Clancy's Rainbow Six: Vegas 2,X360,Shooter,Ubisoft,2008
uDraw Studio,Wii,Misc,THQ,2010
Tomb Raider (2013),PS3,Action,Square Enix,2013
Need for Speed Carbon: Own the City,PSP,Racing,Electronic Arts,2006
Dragon Ball Z: Budokai 2,PS2,Fighting,Atari,2003
pro evolution soccer 2011,PS3,Sports,Konami Digital Entertainment,2010
ATV Offroad Fury,PS2,Racing,Sony Computer Entertainment,2001
Dino Crisis,PS,Action,Capcom,1998
Need for Speed: ProStreet,PS2,Racing,Electronic Arts,2007
Halo: Combat Evolved Anniversary,X360,Shooter,Microsoft Game Studios,2011
Tetris Plus,PS,Puzzle,JVC,1996
Pro Wrestling,NES,Fighting,Nintendo,1987
Theme Hospital,PC,Strategy,Electronic Arts,1997
Frogger's Adventures: Temple of the Frog,GBA,Adventure,Konami Digital Entertainment,0
Monopoly,PC,Misc,Hasbro Interactive,1994
,GEN,,Acclaim Entertainment,1993
Guitar Hero,PS2,Misc,RedOctane,2005
Madden NFL 11,PS3,Sports,Electronic Arts,2010
WCW/nWo Revenge,N64,Fighting,THQ,1998
Yu-Gi-Oh! The Duelists of the Roses,PS2,Misc,Konami Digital Entertainment,2001
Dead Island,X360,Action,Deep Silver,2011
Half-Life 2,PC,Shooter,Vivendi Games,2004
The Incredibles,PS2,Action,THQ,2004
Madden NFL 08,X360,Sports,Electronic Arts,2007
Tony Hawk's Underground 2,PS2,Sports,Activision,2004
Zumba Fitness,X360,Sports,505 Games,2010
Madden NFL 10,PS3,Sports,Electronic Arts,2009
Kirby's Dream Land 2,GB,Platform,Nintendo,1995
Midnight Club: Los Angeles,X360,Racing,Take-Two Interactive,2008
Donkey Kong Land II,GB,Platform,Nintendo,1996
Dragon Warrior Monsters,GB,Role-Playing,Eidos Interactive,1998
Kinect: Disneyland Adventures,X360,Misc,Microsoft Game Studios,2011
WWE SmackDown vs Raw 2008,PS2,Fighting,THQ,2007
The Legend of Zelda: Majora's Mask 3D,3DS,Action,Nintendo,2015
LEGO Indiana Jones: The Original Adventures,Wii,Action,LucasArts,0
Resident Evil - Code: Veronica X,PS2,Action,Capcom,2001
NBA 2K16,XOne,Sports,Take-Two Interactive,2015
Kinect Sports: Season Two,X360,Sports,Microsoft Game Studios,2011
My Fitness Coach,Wii,Sports,Ubisoft,2008
Mario Tennis,N64,Sports,Nintendo,2000
Grand Theft Auto,PS,Action,Take-Two Interactive,1997
James Bond 007: Everything or Nothing,PS2,Shooter,Electronic Arts,2004
Need For Speed: High Stakes,PS,Racing,Electronic Arts,1999
Chrono Trigger,SNES,Role-Playing,SquareSoft,1995
Guild Wars 2,PC,Action,NCSoft,2012
Cool Boarders 3,PS,Sports,989 Studios,1998
Paper Mario: Sticker Star,3DS,Role-Playing,Nintendo,2012
WarioWare Touched!,DS,Puzzle,Nintendo,2004
Batman: Arkham Origins,PS3,Action,Warner Bros. Interactive Entertainment,2013
Tomb Raider II,PC,Action,Eidos Interactive,1997
Yokai Watch Busters,3DS,Action,Level 5,2015
LEGO Star Wars: The Complete Saga,PS3,Action,LucasArts,2007
Need for Speed Underground 2,XB,Racing,Electronic Arts,2004
Pro Evolution Soccer 2010,PS3,Sports,Konami Digital Entertainment,2009
Mario Bros.,NES,Platform,Nintendo,1983
FIFA Soccer 09,PS2,Sports,Electronic Arts,2008
LEGO Harry Potter: Years 1-4,DS,Action,Warner Bros. Interactive Entertainment,2010
The Sims 3,X360,Simulation,Electronic Arts,2010
Pokemon Ranger: Shadows of Almia,DS,Role-Playing,Nintendo,2008
TOCA Touring Car Championship,PS,Racing,Codemasters,1997
Dead Island,PS3,Action,Deep Silver,2011
Kirby: Nightmare in Dream Land,GBA,Platform,Nintendo,2002
Wario Land 4,GBA,Platform,Nintendo,2001
Sonic's Ultimate Genesis Collection,PS3,Misc,Sega,2009
Far Cry: Primal,PS4,Action,Ubisoft,2016
Battlefield 1,XOne,Shooter,Electronic Arts,2016
Onimusha 2: Samurai's Destiny,PS2,Adventure,Capcom,2002
Cool Boarders 2,PS,Sports,UEP Systems,1997
Paper Mario: The Thousand-Year Door,GC,Role-Playing,Nintendo,2004
Madden NFL 12,PS3,Sports,Electronic Arts,2011
God of War: Ascension,PS3,Action,Sony Computer Entertainment,2013
Guitar Hero III: Legends of Rock,PS3,Misc,Activision,2007
Sonic Advance,GBA,Platform,Sega,2001
Super Monkey Ball: Banana Blitz,Wii,Misc,Sega,2006
Just Dance Kids,Wii,Misc,Ubisoft,2010
Call of Duty 3,Wii,Shooter,Activision,0
New Super Luigi U,WiiU,Platform,Nintendo,2013
Assassin's Creed IV: Black Flag,XOne,Action,Ubisoft,2013
Spyro: Season of Ice,GBA,Platform,Vivendi Games,2001
Dissidia: Final Fantasy,PSP,Fighting,Square Enix,2008
Madden NFL 25,X360,Sports,Electronic Arts,2013
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,Action,Konami Digital Entertainment,1990
Dance Dance Revolution X2,PS2,Simulation,Konami Digital Entertainment,2009
Borderlands 2,PS3,Shooter,Take-Two Interactive,2012
Prince of Persia: The Sands of Time,PS2,Action,Ubisoft,2003
Monster Hunter Tri,Wii,Role-Playing,Nintendo,2009
LEGO Marvel Super Heroes,X360,Action,Warner Bros. Interactive Entertainment,2013
The Legend of Zelda: Link's Awakening DX,GB,Adventure,Nintendo,1998
Resident Evil 4,Wii,Action,Capcom,2007
Tom Clancy's Rainbow Six: Siege,PS4,Shooter,Ubisoft,2015
Star Wars: The Force Unleashed,PS3,Action,LucasArts,2008
Devil May Cry 3: Dante's Awakening Special Edition,PS2,Action,Capcom,2006
Frogger,2600,Action,Parker Bros.,1981
Guitar Hero II,X360,Misc,Activision,2007
Forza Motorsport 5,XOne,Racing,Microsoft Game Studios,2013
Rock Band 2,X360,Misc,Electronic Arts,2008
Pro Yakyuu Family Stadium,NES,Sports,Namco Bandai Games,1986
Wario Land 3,GB,Platform,Nintendo,2000
Need for Speed: Hot Pursuit,X360,Racing,Electronic Arts,2010
LEGO Indiana Jones: The Original Adventures,DS,Action,Activision,2008
BioShock 2,X360,Shooter,Take-Two Interactive,2010
High School Musical: Makin' the Cut!,DS,Puzzle,Disney Interactive Studios,2007
Star Wars: Knights of the Old Republic,XB,Role-Playing,Activision,2003
Kirby's Pinball Land,GB,Misc,Nintendo,1992
Donkey Kong Country,GB,Platform,Nintendo,2000
Madden NFL 15,PS4,Sports,Electronic Arts,2014
Pro Evolution Soccer 2012,PS3,Action,Konami Digital Entertainment,2011
Saints Row,X360,Action,THQ,2006
Yu-Gi-Oh: Duel Monsters 4,GB,Role-Playing,Konami Digital Entertainment,2000
ATV Offroad Fury 2,PS2,Racing,THQ,2002
FIFA 15,XOne,Sports,Electronic Arts,2014
Mario & Luigi: Superstar Saga,GBA,Role-Playing,Nintendo,2003
Star Wars: Rogue Squadron,N64,Simulation,Nintendo,1998
Tennis,NES,Sports,Nintendo,1984
Tom Clancy's The Division,XOne,Shooter,Ubisoft,2016
Final Fantasy XIII,X360,Role-Playing,Square Enix,2010
The Sims: House Party,PC,Simulation,Electronic Arts,2001
Scribblenauts,DS,Puzzle,Warner Bros. Interactive Entertainment,2009
Sonic Unleashed,Wii,Platform,Sega,2008
Syphon Filter 2,PS,Shooter,Sony Computer Entertainment,2000
Pokemon Ranger,DS,Role-Playing,Nintendo,2006
Volleyball,NES,Sports,Nintendo,1987
Skylanders SWAP Force,Wii,Platform,Activision,2013
Overwatch,PS4,Shooter,Activision,2016
Hitman: Absolution,PS3,Action,Square Enix,2012
SimCity 2000,PC,Simulation,Maxis,1992
R.C. Pro-Am,NES,Racing,Nintendo,1988
Super Mario RPG: Legend of the Seven Stars,SNES,Role-Playing,Nintendo,1996
Mahjong,NES,Misc,Nintendo,1983
Demon Attack,2600,Shooter,Imagic,1981
Call of Duty: Roads to Victory,PSP,Shooter,Activision,2007
Dance Dance Revolution Extreme,PS2,Simulation,Konami Digital Entertainment,2004
Final Fantasy Tactics Advance,GBA,Role-Playing,SquareSoft,2003
Your Shape featuring Jenny McCarthy,Wii,Sports,Ubisoft,2009
Project Gotham Racing,XB,Racing,Microsoft Game Studios,2001
Golf,GB,Sports,Nintendo,1989
NBA 2K12,PS3,Sports,Take-Two Interactive,2011
Tony Hawk's Pro Skater,N64,Sports,Activision,2000
Need for Speed: Hot Pursuit 2,PS2,Racing,Electronic Arts,2002
PES 2009: Pro Evolution Soccer,PS3,Sports,Konami Digital Entertainment,2008
Dynasty Warriors 4,PS2,Action,Tecmo Koei,2003
NBA 2K14,PS3,Sports,Take-Two Interactive,2013
Parasite Eve,PS,Role-Playing,SquareSoft,1998
Tetris DS,DS,Puzzle,Nintendo,2006
Project Gotham Racing (JP weekly sales),XB,Action,Microsoft Game Studios,2002
Scooby-Doo! Night of 100 Frights,PS2,Platform,THQ,2002
Battlefield: Hardline,PS4,Shooter,Electronic Arts,2015
Mortal Kombat,X360,Fighting,Warner Bros. Interactive Entertainment,2011
Borderlands,PS3,Shooter,Take-Two Interactive,2009
Devil May Cry 3: Dante's Awakening,PS2,Action,Capcom,2005
Derby Stallion,PS,Sports,ASCII Entertainment,1997
NBA 2K11,X360,Action,Take-Two Interactive,2010
Finding Nemo,PS2,Action,THQ,2003
Dying Light,PS4,Action,Warner Bros. Interactive Entertainment,2015
Yokai Watch,3DS,Role-Playing,Nintendo,2013
Dead Rising,X360,Action,Capcom,2006
World of Warcraft: Cataclysm,PC,Role-Playing,Activision,2010
Tetris Worlds,PS2,Puzzle,THQ,2002
Final Fantasy III,DS,Role-Playing,Square Enix,2006
Sim Theme Park,PC,Strategy,Electronic Arts,1998
Mario Party 5,GC,Misc,Nintendo,2003
Rock Band,Wii,Misc,MTV Games,0
Warcraft: Orcs & Humans,PC,Strategy,Activision,1994
Mario & Luigi: Dream Team,3DS,Role-Playing,Nintendo,2013
Portal 2,X360,Shooter,Valve Software,2011
Mario Sports Mix,Wii,Sports,Nintendo,2010
Need for Speed: Most Wanted 5-1-0,PSP,Racing,Electronic Arts,2005
Spec Ops: Airborne Commando,PS,Shooter,Take-Two Interactive,2002
The Sims 2: Pets,DS,Simulation,Electronic Arts,2006
Dance Dance Revolution: Hottest Party,Wii,Simulation,Konami Digital Entertainment,2007
DriveClub,PS4,Racing,Sony Computer Entertainment,2014
Yu-Gi-Oh! The Eternal Duelist Soul,GBA,Strategy,Konami Digital Entertainment,2001
UFC 2009 Undisputed,X360,Fighting,THQ,2009
Metal Gear Solid: Peace Walker,PSP,Action,Konami Digital Entertainment,2010
Kirby's Epic Yarn,Wii,Platform,Nintendo,2010
Wipeout: The Game,Wii,Misc,Mindscape,2009
Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,Role-Playing,Nintendo,2005
The Incredibles,GBA,Action,THQ,2004
R4: Ridge Racer Type 4,PS,Racing,Namco Bandai Games,1998
Kingdom Hearts: Birth by Sleep,PSP,Role-Playing,Square Enix,2010
Tom Clancy's Splinter Cell: Conviction,X360,Action,Ubisoft,2010
SoulCalibur II,PS2,Fighting,Namco Bandai Games,2003
Need for Speed: ProStreet,X360,Racing,Electronic Arts,2007
Sonic Mega Collection,GC,Misc,Infogrames,2002
Ghostbusters: The Video Game (DS Version),PS3,Action,Take-Two Interactive,2010
Madden NFL 15,X360,Sports,Electronic Arts,2014
Need For Speed: Undercover,PS3,Racing,Electronic Arts,2008
Toy Story 3: The Video Game,DS,Action,Disney Interactive Studios,2010
NBA Jam,GEN,Sports,Arena Entertainment,1992
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,Shooter,Sony Computer Entertainment,2006
Peter Jackson's King Kong: The Official Game of the Movie,PS2,Action,Ubisoft,2005
Need for Speed: ProStreet,PS3,Racing,Electronic Arts,2007
Donkey Kong Country,GBA,Platform,Nintendo,2003
Dance Central 2,X360,Misc,Microsoft Game Studios,2011
PGR4 - Project Gotham Racing 4,X360,Racing,Microsoft Game Studios,2007
1080°: TenEighty Snowboarding,N64,Sports,Nintendo,1998
Carnival Games,DS,Misc,Take-Two Interactive,2008
NBA Live 2004,PS2,Sports,Electronic Arts,2003
Call of Duty 2,X360,Shooter,Activision,2005
Rayman Raving Rabbids: TV Party,Wii,Misc,Ubisoft,2008
Pokémon Mystery Dungeon: Blue Rescue Team,DS,Role-Playing,Nintendo,2005
Dark Souls,PS3,Role-Playing,Namco Bandai Games,2011
Just Dance 3,X360,Misc,Ubisoft,2011
Battlefield 4,XOne,Shooter,Electronic Arts,2013
Fire Emblem: Awakening,3DS,Role-Playing,Nintendo,2012
Need for Speed: The Run,PS3,Action,Electronic Arts,2011
Just Dance 2015,Wii,Misc,Ubisoft,2014
Dragon Age: Inquisition,PS4,Role-Playing,Electronic Arts,2014
Super Street Fighter II,SNES,Fighting,Nintendo,1993
Dead Space,PS3,Action,Electronic Arts,2008
Mortal Kombat vs. DC Universe,PS3,Fighting,Midway Games,2008
TouchMaster,DS,Puzzle,Midway Games,2007
Tenchu: Stealth Assassins,PS,Action,Activision,1997
Tennis,GB,Sports,Nintendo,1989
Harry Potter and the Chamber of Secrets,GBA,Action,Electronic Arts,2002
Kingdom Hearts 358/2 Days,DS,Role-Playing,Square Enix,2009
Skate 3,PS3,Sports,Electronic Arts,2010
SimCity,SNES,Simulation,Nintendo,1991
Harry Potter and the Chamber of Secrets,PS,Action,Electronic Arts,2002
Need for Speed Rivals,PS4,Racing,Electronic Arts,2013
Spyro: Enter the Dragonfly,PS2,Platform,Universal Interactive,2002
Devil May Cry 2,PS2,Action,Capcom,2003
E.T.: The Extra Terrestrial,2600,Action,Atari,1981
Hot Shots Golf: Open Tee,PSP,Sports,Sony Computer Entertainment,2004
Minecraft,PSV,Misc,Sony Computer Entertainment Europe,2014
Soccer,NES,Sports,Nintendo,1985
Rad Racer,NES,Racing,Nintendo,1986
Forza Horizon,X360,Racing,Microsoft Game Studios,2012
Tom Clancy's Rainbow Six: Vegas,X360,Shooter,Ubisoft,2006
Crash Nitro Kart,PS2,Racing,Vivendi Games,2003
Resident Evil 6,X360,Shooter,Capcom,2012
Grand Theft Auto: San Andreas,XB,Action,Take-Two Interactive,2005
Star Wars: Dark Forces,PC,Shooter,LucasArts,1994
NBA Street Vol. 2,PS2,Sports,Electronic Arts,2003
Def Jam Vendetta,PS2,Fighting,Electronic Arts,2003
Kirby Squeak Squad,DS,Platform,Nintendo,2006
Burnout Paradise,PS3,Racing,Electronic Arts,2008
Who wants to be a millionaire,PC,Misc,Disney Interactive Studios,1999
Alleyway,GB,Puzzle,Nintendo,1989
Scooby Doo and the Cyber Chase,PS,Adventure,THQ,2001
The Sims 3,PS3,Simulation,Electronic Arts,2010
FIFA Soccer 09,X360,Sports,Electronic Arts,2008
Dragon Ball Z: Budokai 3,PS2,Fighting,Atari,2004
Call of Duty: World at War,Wii,Shooter,Activision,2008
Jet Moto 2,PS,Racing,Sony Computer Entertainment,1997
Tom Clancy's Ghost Recon,PS2,Shooter,Ubisoft,2002
BioShock Infinite,X360,Shooter,Take-Two Interactive,2013
X-Men Legends,PS2,Role-Playing,Activision,2004
Mortal Kombat II,SNES,Fighting,Acclaim Entertainment,1993
Virtua Fighter 2,SAT,Fighting,Sega,1995
Mortal Kombat vs. DC Universe,X360,Fighting,Midway Games,2008
Destiny: The Taken King,PS4,Shooter,Activision,2015
Tetris DX,GB,Puzzle,Nintendo,1998
The Legend of Zelda: Oracle of Ages,GB,Action,Nintendo,2001
Destiny,X360,Shooter,Activision,2014
Red Faction,PS2,Shooter,THQ,2001
The Sims: Makin' Magic,PC,Simulation,Electronic Arts,2003
Mario Party: Island Tour,3DS,Misc,Nintendo,2013
MX Unleashed,PS2,Racing,THQ,2004
PaRappa The Rapper,PS,Misc,Sony Computer Entertainment,1996
Guitar Hero: World Tour,PS3,Misc,Activision,2008
Need for Speed: Shift,X360,Racing,Electronic Arts,2009
Mario Party 3,N64,Misc,Nintendo,2000
Diablo III,PS3,Role-Playing,Activision,2013
LittleBigPlanet 3,PS4,Platform,Sony Computer Entertainment,2014
Star Wars Rogue Leader: Rogue Squadron II,GC,Simulation,LucasArts,2001
Tomb Raider (2013),X360,Action,Square Enix,2013
